"CVE","analfabeta","sin_primaria","sin_drenaje","sin_electricidad","sin_agua_entubada","con_hacinamiento","con_piso_tierra","habitantes_5000","salarios_minimos"
7002,21.01,41.88,5.75,2.45,4.92,60.22,14.91,52.02,70.23
7003,18.1,42.4,9,2.39,54.64,50.01,22.31,77.54,80.34
7004,31.56,51.68,4.73,8.49,24,60.2,9.34,69.19,84.45
7005,27.11,53.67,2.27,14.08,30.07,70.33,14.79,100,90.29
7006,21.25,45.24,3.54,3.35,11.96,57.82,20.48,100,86.41
7007,32.97,60.57,20.11,5.27,31.83,65.78,37.1,100,93.27
7008,20.55,45.26,3.54,3.74,7.35,66.89,15.06,60.84,82.53
7009,12.32,32.46,4.51,1.65,28.68,44.34,4.5,38.95,75.23
7010,13.18,47.37,0.92,2.33,54.87,71.17,9.95,100,94.36
7011,12.23,41.75,3.69,3.15,31.06,56.81,10.58,100,90.75
7012,17.29,40.69,7.82,7.93,35.59,57.66,17.89,34.86,61.84
7013,20.26,36.67,1.78,1.54,11.35,63.31,26.35,59.52,77.37
7014,29.67,49.09,2.53,2.51,6.55,65.62,19.05,72.22,93.14
7015,14.43,32.94,2.02,2.03,7.58,53.19,11.37,62.17,73.26
7016,17.21,40.36,7.08,3.48,8.84,51.74,7.26,100,74.56
7017,14.04,36.53,7.6,3.32,13.5,51.78,14.89,45.63,72.25
7018,20.5,46.64,8.58,3.68,1.25,55.05,10.95,100,84.49
7019,13.54,30.9,1.64,1.22,12.45,42.61,10.99,30.83,62.47
7020,23.88,47.67,8.7,5.66,25.67,63.86,12.07,82.67,86.09
7021,15.03,40.55,7.26,3.53,7,58.08,10.58,68.88,73.63
7022,33.82,49.4,12.66,18.45,69.04,76.75,55.8,100,93.41
7023,42.5,56.77,9.89,3.2,28.12,65.3,21.65,100,93.73
7024,34.35,50.27,7.08,2.62,45.55,78.39,17.13,35.21,96.63
7025,19.67,41.24,2.35,7.52,16.29,47.27,37.01,100,84.53
7026,34.13,49.63,10.44,4.19,29.81,74.85,31.38,100,91.44
7027,14.34,30.81,2.9,1.16,13.88,53.43,12.74,48.54,60.64
7028,26.41,52.99,2.02,1.7,0.69,62.52,4.47,100,79.27
7029,13.44,33.76,4.11,1.12,4.88,59.97,5.07,100,62.57
7030,18.19,51.49,5.47,4.23,29.56,60.13,17.34,81.16,87.83
7031,33.31,53.58,23.18,14.44,18.61,77.41,30.58,88.86,91.68
7032,14.96,40.15,6.84,4.51,20.18,58.08,20.46,68.17,75.33
7033,23.76,54.47,8.27,6.1,13.84,67.05,7,100,92.56
7034,13.79,39.49,2.48,1.81,12.25,50.67,14.15,72.09,78.73
7035,17.07,34.58,4.6,2.51,35.76,49.44,13.79,100,71.99
7036,11.42,35.01,0.4,3.47,45.48,71.08,10.34,100,86.56
7037,16.83,35.71,9.39,3.04,65.31,52.14,26.57,57.93,69.04
7038,27.27,41.64,2.76,4.36,31.26,66.82,42.01,100,92.5
7039,27.8,50.81,1.85,7.69,21.7,65.08,17.54,100,91.35
7040,11.63,30.33,4.66,2.03,35.74,51.21,14.51,37.63,68.01
7041,16.56,46.07,0.86,2.45,9.09,58.56,23.72,74.41,90.59
7042,22.22,44.75,1.66,1.55,2.47,62.24,17.22,100,80.65
7043,14.29,34.46,3.07,8.48,20.18,54.58,9.05,100,74.1
7044,18.74,37.89,3.88,2.5,3.41,65.58,21.61,75.18,85.37
7045,22.01,49.59,4.84,5.15,29.6,63.07,13.51,100,82.02
7046,13.33,39.11,7.25,2.61,21.95,48.92,13.1,73.84,72.06
7047,22.57,44.28,1.78,2.7,4.29,66.15,9.73,100,86.51
7048,15.51,38.07,4.04,2.59,37.96,47.18,12.67,65.44,61.49
7049,26.08,43.13,5.79,4.18,24.33,79.65,17.62,100,94.55
7050,16.2,39.35,4.07,4.09,31.91,45.67,4.49,100,75.82
7051,16.16,42,3.39,3.24,35.37,48.83,14.53,59.17,71.3
7052,26.06,48.27,1.73,10.75,38.79,59.88,19.28,81.36,82.6
7053,12.28,41.66,2.63,2.58,35.62,63.43,15.28,100,88.79
7054,15.81,36.57,6.06,1.71,72.95,49.73,24.49,74.27,71.96
7055,14.16,31.53,2.25,1.51,32.75,40.64,15.99,100,60.37
7056,47.31,66.05,7.47,1.22,46.59,55.52,19.08,100,88.28
7057,12.26,40.11,2.65,1.31,23.44,62.83,17.42,65.63,82.31
7058,22,58.61,3.82,4.13,1.07,76.07,7.25,100,81.31
7059,27.88,47.22,9.76,10.77,12.98,68.35,20.9,71.01,85.42
7060,38.24,62.33,9.49,4.45,5.37,76.52,20.06,100,84.17
7061,16.01,40.47,3.85,4.62,17.63,57.74,19.63,52.25,72.85
7062,18.81,45.01,8.95,10.66,28.76,58.41,12.12,100,77.88
7063,10.72,33.03,0.63,0.72,0.87,57.42,3.67,100,64.76
7064,21.62,38.77,1.36,14.08,69.3,70.58,29.97,84.6,93.49
7065,19.04,38.74,13.81,4.63,15.64,59.32,20.02,61.28,74.63
7066,43.78,62.74,9.18,9.4,18.67,76.25,33.88,66.55,92.86
7067,29.16,53.11,3.19,2.71,6.24,69.01,19.04,100,88.35
7068,16.44,34.83,4.36,2.63,25.68,51.59,6.69,52.33,57.58
7069,15.69,40.61,4.53,2.9,52.52,48.45,11.16,66.22,79.17
7070,13.07,36.32,1.07,1.77,79.24,70.71,8.1,100,94.35
7071,16.78,41.53,8.96,2.89,53.75,57.37,23.27,74.19,80.15
7072,31.69,51.28,1.92,3.61,3.42,68.04,16.27,49.69,83.83
7073,23.5,43.88,3.37,3.04,16.31,64.35,7.8,34.51,83.28
7074,9.25,25.75,2.35,1.33,12.47,48.36,7.26,35.5,39.56
7075,28.1,56.02,6.27,3.68,31.03,58.69,19.18,26.29,84.13
7076,24.22,48.07,0.67,9.8,25.08,72.2,15.67,100,93.7
7077,28.82,47.48,17.35,6,15.45,71.66,16.98,90.92,89.68
7078,13.18,25.41,1.78,0.87,8.29,41.67,18.61,15,59.82
7079,15.33,40.91,4.65,1.12,16.79,58.85,4.98,70.81,61.11
7080,19.61,47.05,3.16,4.67,32.81,72.34,7.35,100,89.95
7081,32.48,49.75,1.72,1.83,12.64,74.75,10.33,73.29,86.65
7082,46.49,68.79,55.4,19.36,39.37,77.59,25.8,100,87.45
7083,23.7,50.22,5.38,2.38,15.82,52.1,8.43,100,84
7084,16.99,42.88,2.32,2.44,8.35,58.07,6.48,100,77.39
7085,21.28,41.38,1.71,1.2,4.58,57.39,2.67,100,79.03
7086,15.95,31.94,3.89,1.78,9.04,61.04,7.16,20.95,64.75
7087,18.62,41.25,4.26,3.44,41.26,51.59,22.34,58.34,74.43
7088,20.22,41.66,4.39,3.75,39.36,59.96,27.22,100,69.79
7089,9.28,24.78,2.07,1.53,32.43,42.24,16.08,29.97,55.06
7090,16.48,49.57,2.43,3.11,3.48,58.26,25.03,100,80.18
7091,17.89,36.56,1.03,1.19,2.3,56.76,7.6,38.86,74.64
7092,18.45,45.15,5.22,6.96,12.88,57.34,10.86,83.39,79.47
7093,25.24,44.15,3.82,2.29,8.58,73.92,21.41,100,95.75
7094,30.64,53.65,8.3,3.12,7.03,61.16,18.2,56.82,77.81
7096,29.24,47.47,1.42,8.23,19.68,70.93,17.13,80.49,91.5
7097,12.55,33.25,2.87,1.78,46.22,47.52,5.95,51,69.12
7098,29.96,52.43,6.85,4.78,1.32,76.61,6.32,100,88.32
7099,18.2,42.94,1.46,2.05,18.33,50.39,16.34,87.57,86.38
7100,34.69,51.54,7.21,9.84,29.28,70.69,22.1,100,92.06
7101,5.47,15.4,0.28,0.37,14.05,35.69,5.42,1.47,36.13
7102,15.63,30.86,4.27,2.47,47.4,46.54,20.43,81.38,64.16
7103,15.59,38.67,7.9,2.32,31.74,60.19,17.35,100,80.7
7104,25.01,49.99,4.35,1.83,12.55,49.01,6.61,63.51,88.88
7105,15.08,34.78,1.88,3.01,4.5,51.12,11.72,100,77.87
7106,25.49,48.67,11.49,2.48,7.47,57.73,12,63.1,82.6
7107,20.25,42.51,9.49,4.95,25.42,58.15,16.69,48.09,82.25
7108,15.47,36.92,4.07,1.79,20.39,54.73,12.71,55.42,71.9
7109,27.23,46.46,8.53,10.41,13.67,63.88,45.12,51.15,68.98
7110,30.8,53.63,4.72,3.78,0.61,71.75,14.17,100,87.49
7111,42.38,55.83,10.25,0.88,35.45,64.92,11.75,100,91.34
7112,37.45,53.79,6.87,4.56,32.68,80.05,37.7,78.19,96.77
7113,28.11,44.9,7.86,2.86,24.12,81.87,11.03,100,94.86
7114,21.24,47.63,8.42,3.38,52.43,58.78,10.49,58,78.83
7115,26.12,54.13,2.03,8.98,21.6,73.55,19.33,100,95.52
7116,24.5,52.76,11.16,3.85,48.46,61.11,5.75,100,91.9
7117,21.01,51.51,4.26,3.45,9.52,71.12,11.32,100,90.85
7118,33.87,63.15,0.92,2.35,8.09,74.49,4.28,100,93.13
7119,39.84,50.37,4.29,0.27,19.99,60.52,11.76,100,91.26
8001,3.73,26.58,1.19,0.44,1.07,34.72,1.79,25.15,39.39
8002,3.84,20.5,0.8,1.19,1.09,27.32,2.13,16.41,24.08
8003,4.51,22.83,3.54,1.49,0.8,20.66,2.16,100,51.83
8004,3.38,13.26,0.79,0.21,0.12,31.9,0.84,33.24,21.66
8005,5.56,28.01,2.35,2.17,2.26,35.12,3.06,43.87,48.38
8006,4.87,37.82,6.35,0.94,5.16,15.19,1.56,100,37.18
8007,27.29,52.88,30.18,33.56,51.71,49.55,21.81,100,66.36
8008,38.07,62.22,56.69,66.42,86.25,62.72,25.52,100,84.81
8009,14.25,35.81,13.42,25.34,24.85,46.51,8.59,45.9,50.65
8010,5.26,28.24,3.46,1,0.26,30.45,3.39,43.09,44.56
8011,3.12,16.51,1.7,0.83,1.35,26.95,1.26,17.49,34.99
8012,39.25,62.14,43.18,42.43,41.4,41.14,13.2,100,69.82
8013,4.05,26.57,3.01,2.46,2.18,27.92,2.31,50.35,53.11
8014,5.1,28.73,3.3,2.59,0.84,22.84,0.96,100,64.86
8015,7.74,38.82,3.49,5.85,9.89,20.11,1.81,100,43.76
8016,3.63,21.42,1.84,0.83,0.6,26.21,1.08,100,43.38
8017,2.31,16.42,0.98,0.46,0.4,24.37,0.69,19.84,27.32
8018,5.64,32.48,3.8,1.97,1.82,21.28,1.35,100,47.66
8019,1.38,8.76,0.27,0.23,1.77,19.85,1.27,1.26,20.42
8020,13.76,40.36,19.33,60.51,35.04,47,19.2,100,78.36
8021,2.69,14.05,0.5,0.31,0.35,26.12,1.05,14.4,29.76
8022,7.04,44.39,3.9,1.52,1.86,11.26,2.9,100,61.23
8023,5.08,25.45,3.32,2.1,3.19,34.53,2.16,100,26.32
8024,2.95,28.36,2.46,0.56,1.57,17.73,0.64,100,42.75
8025,3.99,26.85,2.02,0.51,0.18,20.63,0.64,38.2,50.68
8026,6.31,40.34,5.67,1.78,1.82,13.91,1.35,100,58.51
8027,25.33,48.57,32.13,52.59,58.94,54.64,24.53,70.79,71.46
8028,4.64,27.38,3.5,1.58,1.19,33.12,1.78,100,58.12
8029,21.47,47.34,20.99,50.88,63.11,53.55,55.52,89.13,66.23
8030,18.82,47.57,23.36,37.54,37.63,48.64,30.44,100,62.04
8031,5.95,32.65,3.36,6.29,5.02,29.7,5.35,57.9,42.57
