"CVE","analfabeta","sin_primaria","sin_drenaje","sin_electricidad","sin_agua_entubada","con_hacinamiento","con_piso_tierra","habitantes_5000","salarios_minimos"
11040,16.37,35.39,36.92,9.45,9.94,58.03,10.21,100,57.87
11041,7.76,29.92,1.96,0.47,1.03,32.87,1.48,13.36,40.84
11042,10.27,31.76,8.92,0.94,1.77,39.05,4.14,51.75,56.87
11043,14.32,30.57,28.98,5.8,21.9,45.94,8.19,100,52.33
11044,7.9,21.88,1.63,1.17,4.52,38.68,7.41,31.62,45.53
11045,20.94,42.34,34.31,12.14,35.28,46.91,8.18,100,70.92
11046,12.72,37.36,8.23,0.84,4.12,37.47,4.28,55.15,56.35
12001,8.04,18.89,7.66,0.36,18.13,41.16,12.01,12.43,42.69
12002,35.55,58.54,31.5,8.1,28.68,68.34,16.92,100,86.64
12003,22.27,44.71,30.81,8.43,78.96,61.67,29.32,83.28,68.52
12004,50.06,67.27,52.85,5,60.52,66.01,20.98,100,82.38
12005,20.15,41.73,2.86,2.96,6.63,49.17,16.76,100,65.7
12006,18.84,37.1,24.04,2.26,26.43,46.95,23.82,43.2,68.49
12007,16.75,30.84,16.82,3.29,28.68,49.81,28.05,41.94,52.02
12008,22.37,46.77,26.63,3.09,59.21,47.91,11.39,100,68.79
12009,32.23,48.45,48.84,6.38,19.82,70.31,22.27,100,88.72
12010,41.06,58.64,32.27,9.42,34.25,66.44,24.15,100,91.6
12011,12.71,30.6,14.27,3.15,16.32,53.79,33.18,65.09,66.93
12012,24.7,39.18,52,10.86,19.98,70.22,16.96,75.48,78.13
12013,23.36,39.59,28.13,5.75,39.7,57.61,15.01,100,67.63
12014,12.39,28.72,11.19,3.04,26.68,40.27,16.54,52.06,55.12
12015,12.14,31.09,5.24,1.2,9.91,36.25,9.69,43.8,54.33
12016,23.98,49.57,61.5,17.91,68.51,57.43,37.65,100,84.86
12017,17.22,37.6,16.09,1.92,19.81,42.82,26.08,100,68.04
12018,20.04,36.4,25.46,3.07,11.26,51.74,21.28,51.46,66.46
12019,36.35,57.58,37.8,6.05,84.16,69.19,37.96,52.2,78.16
12020,41.42,59,62.83,5.97,36.16,73.29,21.92,100,78.52
12021,16.19,31.51,22.89,1.79,46.68,51.21,29.47,73.14,59.69
12022,21.96,42.89,27.7,15.26,69.63,47.33,23.99,83.7,68.25
12023,23.4,43.34,24.66,3.54,25.97,47.81,13.34,60.33,60.39
12024,21.89,44.33,15.31,4.29,32.72,59.62,11.13,100,70.3
12025,22.22,38.04,50.22,2.6,51.2,64.47,13.06,100,72.95
12026,23.93,47.27,15.29,2.84,67.67,45.96,20.09,100,84.16
12027,27.03,51.11,17.19,4.57,44.55,44.06,10.58,100,72.96
12028,31.92,47.33,33.34,4.45,47.88,64.06,22.03,74.21,70.37
12029,7.91,18.28,3.6,1.34,20.27,43.69,17.94,13.43,35.68
12030,19.01,33.64,26.66,1.23,34.17,55.63,11.73,41.6,70.29
12031,20.03,40.95,28.95,4.42,71.48,43.26,20.99,100,74.54
12032,17.83,42.53,32.31,25.99,42.81,71.01,31.57,81.28,85.28
12033,20.7,38.35,4.53,1.31,7.35,45.92,15.77,57.88,69.89
12034,17.2,37.9,17.38,2.21,54.71,41.57,22.82,53.23,52.31
12035,7.68,19.86,2.6,1.27,26.01,38.37,15.28,15.6,41.12
12036,22.04,39.6,40.62,6.07,22.8,62,13.14,100,74.93
12037,14.74,37.26,21.16,1.31,35.89,45.75,24.74,100,66.87
12038,7.74,20.65,4.38,1.16,15.77,41.48,13.86,22.22,34.86
12039,16.13,34.58,9.47,1.54,25.3,52.11,18.37,52.64,67.95
12040,19.24,39.36,11.88,2.67,4.48,64.28,28.15,56.76,82.35
12041,24.04,37.21,48.65,14.05,58.9,67.19,24.99,100,79.28
12042,35.72,55.71,16.46,2.77,38.51,64.82,32.96,100,78.28
12043,52.5,68.55,58.31,11.12,18.97,72.09,39.67,100,93.08
12044,17.95,35.72,10.04,4,6.16,51.97,30.33,53.68,68.35
12045,29.6,46.52,42.58,4.04,75.84,63.41,20.51,76.57,67.81
12046,22.62,36.54,27.17,6.73,44.06,59.18,21.63,60.66,67.43
12047,23.55,49.01,55.85,21.4,64.55,54.36,30.43,100,94.78
12048,13.68,31.78,17.35,3.77,11.17,50.24,20.78,36.66,46.28
12049,10.2,34.65,11.8,2.2,24.06,43.05,12.05,54.4,68.08
12050,11.95,26.49,4.25,0.38,18.47,50.68,12.12,32.04,42.01
12051,29.24,47.73,25.74,3.86,20.86,64.41,20.19,83.53,74.22
12052,26.5,42.03,55.01,17.42,33.8,71.98,33.54,80.46,74.84
12053,20.39,38.52,39.13,2.17,51.66,54.21,14.8,72.61,68.64
12054,20,43.01,53.19,30.05,66.4,66.91,35.3,100,84.32
12055,11.64,26.07,8.73,1,23.76,46.33,15.76,38.73,54.31
12056,19.29,34.02,48.48,4.79,13.25,67.08,8.22,100,73.94
12057,16,34.1,17.88,3.09,20.77,46.88,22.71,56.23,56.07
12058,16.75,34.08,22.05,4.03,47.35,45.22,28.52,56.2,65.37
12059,20.76,41.55,19.66,1.92,39.03,42.33,30.4,79.33,62.89
12060,14.65,40.82,21.06,5.99,34.06,48.51,14.3,100,78.21
12061,17.43,29.48,10.32,1.38,34.15,50.34,35.48,28.05,62.01
12062,49.11,66.95,57.4,14.37,8.06,72.67,30.88,100,83.38
12063,26.05,37.76,39.31,26.67,52.02,64.42,42.49,100,87.15
12064,21.7,41.76,11.92,1.7,64.41,40.34,7.29,100,63.08
12065,28.41,50.64,20.76,7.39,37.21,51.61,19.62,100,81.52
12066,23.49,36.15,18.39,3.64,37.48,62.94,15.86,42.3,49.44
12067,20.82,33.44,15.44,2.38,33.85,52.39,25.18,57.23,51.2
12068,16.52,37.64,28.27,3.46,29.61,50.55,13.87,100,48.5
12069,42.57,59.68,44.45,4.64,83.15,66.37,15.72,100,84.42
12070,28.73,51.04,8.68,1.68,28.31,48.56,8.84,100,77.79
12071,47.41,62.77,31.68,11.08,8.71,63.13,48.31,100,88.43
12072,33.54,48.78,26.83,12.94,19.16,65.78,27.23,100,91.08
12073,24.43,52.75,31.96,10.16,49.4,49.96,26.88,100,75.44
12074,35.94,52.76,20.28,3.63,55.57,65.67,19.63,73.15,85.86
12075,18.03,32.68,8.02,1.98,20.35,57.37,30.76,46.45,37.48
12076,30.84,43.7,34.32,37.35,30.62,68.19,40.73,100,92.45
12077,17.57,33.42,15.55,1.9,32.9,54.06,9.02,49.25,59.96
12078,66.74,81.26,89.85,23.41,46.41,77.63,31.4,100,95.12
12079,46.33,60.41,66.48,9.55,39.43,76.47,31.75,100,89.13
12080,26.4,46.46,33.31,2.63,28.46,54.77,7.86,100,76.52
12081,18.86,32.05,36.84,26.57,46.25,67.82,27.62,100,71.11
13001,15.57,37.38,19,4.96,19.91,44.27,4.49,100,50.96
13002,23.86,40.6,12.4,5.72,31.13,63.19,12.42,100,60.7
13003,5.71,16.11,5.37,3.35,2.73,35.05,5.21,46.18,50.38
13004,17.44,36.32,5.33,9.69,9.28,46.67,10.36,100,64.29
13005,8.48,24.75,6.04,1.32,0.34,31.77,4.37,57.52,48.23
13006,13.38,30.43,24.15,3.44,2.09,38.07,6.28,100,73.95
13007,10.32,23.82,7.15,1.84,1.42,47.57,6.55,100,65.41
13008,6.99,18.68,2.54,1.91,0.75,37.56,4.21,37.41,54.12
13009,6.91,19.36,10.95,2.72,13.14,42.63,6.8,100,44.61
13010,3.94,14.5,2.05,0.83,1.21,29.99,2.24,42.71,33.99
13011,26.83,37.06,8.59,3.12,34.91,48.59,3.99,100,68.19
13012,11.71,30.65,16.34,4.48,10.03,40.98,6.06,73.05,57.93
13013,4.47,16.69,4.94,0.91,5.99,32.71,1.3,73.76,29.58
13014,23.75,44.26,2,5.98,4.53,45.23,18.46,100,85.15
13015,15.62,27.85,13.88,2.96,7.14,38.48,14.5,100,65.53
13016,11.86,28.68,14.32,3.65,4.13,46.55,7.37,65.44,58.97
13017,11.13,31.66,28.77,4.2,1.65,38.58,4.99,100,71.92
13018,20.48,39.18,3.26,5.93,20.2,48.28,17.37,100,75.98
13019,11.09,24.26,15.25,1.74,1.95,37.91,8.61,100,74.59
13020,16.03,37.69,4.84,3.06,6.68,35.29,11.58,100,82.77
13021,5.1,15.92,0.6,0.33,0.1,36.48,2,34.7,43.97
13022,6.76,20.57,8.08,2.55,1.87,37.64,3.47,100,44.42
13023,7.13,18.15,3.24,1.49,0.26,33.29,4.24,49.81,48.91
13024,9.56,31.21,21.22,5.93,2.86,44.56,6.53,100,46.86
13025,23.22,39,1.17,2.01,43.91,38.46,27.44,100,79.76
13026,24.81,39.5,8.52,3.88,22.91,55.88,32.94,100,82.74
13027,33.5,50.81,8.56,10.04,47.33,58,8.52,100,78.98
13028,21.55,32.2,7.65,1.97,17.38,47.53,22.63,67.44,55.2
13029,8.01,23.99,14.52,1.84,1.11,37.04,3.25,79.55,55.57
13030,9.88,21.01,6.65,1.23,5.88,37.22,7.61,59.69,53.78
13031,16.7,37.35,6.45,4.49,26.28,33.1,9.79,100,69.8
13032,30.19,40.23,4.41,2.86,9.46,48.41,8.1,43.28,76.11
13033,16.54,37.99,3.23,1.79,2.04,36.14,6.27,100,76.39
13034,20.45,36.32,1.75,3.41,19.02,49.55,17.41,100,67.69
13035,11.66,28.82,6.59,4.3,3.97,48.45,5.22,100,49.97
13036,8.33,25.85,6.75,5.69,1.88,39.92,11.96,100,75.62
13037,15.52,36.36,12.32,6.57,15.99,39.77,20.63,100,76.18
13038,13.33,31.64,18.6,6.68,14.9,43.4,11.28,100,50.47
13039,4.21,14.07,4.17,0.49,9.13,39,3.41,20.55,38.64
13040,24.74,49.55,8.15,2.9,64.8,42.42,3.62,100,88.48
13041,6.51,18.39,3.29,1.59,1.45,33.51,4.31,40.44,50.68
13042,13.7,32.59,3.83,6.65,18.23,42.65,14.43,100,65.97
13043,15.21,30.94,11.49,5.31,23.74,42.97,15.92,100,79.29
13044,9.57,31.87,25.74,3.84,4.09,37.09,3.7,100,62.85
13045,9.53,24.01,17.01,2.45,3.78,45.14,7.9,100,57.53
13046,26.86,42.89,6.7,1.66,13.69,46.39,28.9,82.94,76.66
13047,21.06,45.76,25.51,6.03,55.62,38.85,5.81,100,71.07
13048,2.87,9.32,0.37,0.8,2.86,23.66,2.5,4.21,32.02
13049,22.03,41.06,7.37,4.48,30.36,52.19,6.53,100,88.76
13050,5.52,15.89,1.99,2.12,0.57,32.39,4.51,21.29,48.86
13051,1.89,6.75,0.43,0.29,1.11,22.76,1.61,68.72,27.96
13052,7.03,21.24,10.75,2.1,5.74,41.34,4.52,67.26,42.67
13053,34.28,51.62,11.97,22.08,33.74,56.85,28.05,100,67.87
13054,7.49,17.65,9.04,1.39,0.89,36.94,6.7,100,54.85
13055,9.29,21.67,10.7,2.53,0.57,38.63,5.69,100,62.04
13056,6.82,19.05,2.77,1.55,6.95,38.55,3.2,52,41.38
13057,12.09,30.73,12.81,3.79,5.71,47.13,4.19,100,60.43
13058,11.62,26.75,18.23,2.31,2.23,34.08,9.04,100,60.23
13059,14.06,28.72,20.36,2.71,3.98,44.79,8.73,83.33,68.81
13060,23.38,41.51,5.26,4.39,13.97,48.87,5.01,100,65.74
13061,4.75,13.88,1.85,0.68,0.9,28.05,2.04,15.22,37.36
13062,29.77,47.17,2.22,12.24,49.5,60.19,10.99,100,83.79
13063,5.26,17.42,6.9,1.53,8.17,36.9,2.78,57.64,38.22
13064,5.85,22.26,10.8,4.3,1.01,33.16,5.71,100,60.43
13065,8.22,21.34,5.39,2.01,0.07,34.46,5.14,21.66,44.85
13066,6,18.4,2.39,1.74,1,46.26,4.02,55.26,48.62
13067,7.4,21.14,7.17,1.97,1,40.9,5.25,74.32,61.93
13068,27.67,45.71,3.43,3.15,24.53,52.19,5.83,100,78.46
13069,2.56,10.49,0.24,0.49,0.63,38.67,2.25,16.97,35.25
13070,5.15,18.63,1.79,1.1,1.14,39.92,2.87,50.46,51.29
13071,19.71,45.84,3.79,16.04,23.1,38.52,5.12,100,79.25
13072,5.38,12.81,2.28,1.79,0.91,28.77,1.92,26.64,45.55
13073,21.08,36.73,1.53,4.36,16.24,57.35,26.78,85.71,73.58
13074,5.51,18.57,1.77,0.93,0.29,39.7,3.19,20.37,48.48
13075,5.74,17.52,1.13,0.53,0.24,41.12,3.01,48.32,44.76
13076,3.75,14.56,4.43,0.92,9.04,28.6,2.02,38.51,35.87
13077,7.22,18.01,1.62,1.35,4.3,36.29,3.83,16.28,40.48
13078,31.54,47.8,12.66,6.56,48.95,61.45,19.39,100,85.17
13079,17.46,36.95,2.45,5.48,6.75,43.59,12.79,100,86.24
13080,35.01,48.73,4.14,3.85,42.91,56.44,9.8,100,85.56
13081,9.94,24.84,2.03,2.24,5.35,45.45,9.44,28.71,53.42
13082,5.39,17.7,2.04,0.92,2.26,38.32,2.7,53.04,50.25
13083,5.88,15.83,3.81,1.53,2.41,34.24,3.13,69.33,44.46
13084,9.6,25.48,12.47,2.62,23.32,36.89,7.27,65.62,48.16
14001,10.82,37.03,3.07,0.72,15.36,39.9,2.12,43.93,38.27
14002,3.79,17.79,0.36,0.31,1.49,36.09,1.51,24.17,33.26
14003,4.89,21.48,0.71,0.51,0.5,30.91,2.74,28.56,36.12
14004,6.38,27.1,0.73,0.89,0.57,35.21,5.49,100,50.34
14005,5.52,22.17,1.45,0.95,0.68,42.13,2.26,24.86,33.35
14006,5.24,24.2,1.63,0.7,4.56,29.17,1.61,36.94,41.64
14007,5.14,25.61,1.41,1.02,0.29,37.33,2.56,39.6,46.82
14008,9.55,32.52,2.47,1,8.6,32.32,1.04,28.34,36.66
14009,5.66,22.26,0.43,1.16,4.4,37.37,1.21,33.83,25.13
14010,11.27,34.72,4.82,2.83,3.67,51.93,6.83,18,52.51
14011,9.43,37.82,7.02,3.03,2.1,38.35,5.91,100,63.73
14012,8.31,31.06,3.27,1.61,3,25.3,2.58,100,45.34
14013,8.52,30.09,1.47,0.37,4.35,34.24,1.83,44.27,34.35
14014,10.13,35.76,1.54,1.84,6.46,33.57,12.19,38.96,58.82
14015,4.8,21.16,0.63,0.82,2.15,29.46,3.53,21.16,30.12
14016,11.36,37.62,2.55,0.58,0.78,41.79,3.35,49.06,53.52
14017,7.45,31.11,5.41,2.07,7.5,32.3,8.69,42.8,54.18
14018,8.14,28,0.55,0.33,0.7,35.14,1.64,45.2,30.25
14019,19.47,44.43,56.82,39.51,28.26,54.56,30.49,100,54.71
14020,5.83,32.25,8.4,5.29,15.03,41.64,7.64,100,48.11
14021,7.98,28.21,1.3,0.98,2.72,34.96,2.76,47.94,42.14
14022,7.13,25.77,1.49,0.71,6.63,42.79,7.55,34.05,31.48
14023,4.23,16.27,0.17,0.39,1.19,26.77,3.3,2.77,29.52
14024,7.17,25.92,2.15,0.57,0.95,32.51,4.58,44.42,41.68
14025,5.45,26.83,2.38,0.57,1.52,29.83,1.9,26.73,50.67
14026,10.13,32.74,1.32,0.93,0.86,31.13,6.37,100,49.75
14027,17.09,40.95,24.63,12.82,8.36,49.52,17.25,100,56.18
14028,8.27,37.57,9.07,4.65,5.44,22.6,1.61,100,45.65
14029,11.02,36.8,5.23,0.98,42.29,34.17,3.42,100,50
14030,4.18,19.41,0.52,0.62,0.91,32.35,2.69,19.42,29.7
14031,14.57,43.85,36.24,21.2,30.95,49.39,6.85,100,66.18
14032,10.18,31.11,4.99,4.23,1.19,43.24,11.36,100,65.02
14033,9.8,35.86,3.48,0.51,2.99,36.19,2.42,46.17,55.19
14034,7.91,32.59,1.57,1.72,1.37,19.74,2.85,100,51.25
14035,8.31,33.19,3.6,1.31,3.61,34.33,1.58,51.34,44.81
14036,4.01,19.84,0.83,0.41,0.98,34.6,2.83,27.47,34.65
14037,5.16,23.42,0.48,0.41,9.89,31.67,2.37,12.25,31.33
14038,10.56,36.29,10.83,4.38,12.51,31.35,10.37,100,66.99
14039,2.11,10.9,0.02,0.04,0.09,20.4,1.54,0,20.93
14040,8.2,31.5,6.8,1.49,5.73,44.86,5.52,100,62.55
14041,7.16,36.68,4.46,0.64,1.35,26.46,0.89,100,59.94
14042,10.95,36.35,17.23,4.8,10.39,41.8,7.11,100,52.34
14043,9.2,30.64,3.44,2.66,9.49,36.79,4.51,66.32,44.82
14044,3.46,17.13,0.53,0.64,1.79,48.67,1.99,50.6,30.1
14045,9.57,34.63,3.28,1.22,29.66,33.34,4.15,67.39,38.52
14046,6.81,28.67,2.91,0.96,3.42,33.3,1.35,23.55,40.8
14047,7.57,27.14,0.46,0.32,1.1,41.05,2.37,24.81,43.32
14048,13.77,44.82,4.93,2.08,4.3,34.18,2.05,55.73,45.27
14049,16.18,44.02,16.05,4.31,22.95,41.65,5.88,100,42.78
14050,6.5,28.63,0.99,0.68,4,43.32,4.66,38.75,29.98
14051,4.6,17.04,0.96,0.36,3.88,37.91,1.49,30.9,35.09
14052,6.31,30.23,3.56,2.52,2.37,30.73,3.89,100,47.06
14053,7.16,25.53,5.25,0.85,3.53,36.33,2.33,36.15,39.46
14054,6.26,30.16,1.17,0.66,1.15,21.75,2.05,100,46.05
14055,5.63,23.67,0.74,1.09,2.43,43.76,1.31,23.95,33.14
14056,19.31,52.22,37.31,23.91,33.69,39.94,8.48,100,67.38
14057,7.02,31.16,0.99,0.4,1.52,20.32,2.85,100,51.97
14058,4.86,27.01,2.66,3.4,1.33,29.11,1.72,38.22,36.32
14059,8.28,25.91,3.04,1.65,4.44,34.39,4.64,40.53,40.37
14060,9.61,36.07,3.17,1.21,3.7,27.27,2.47,100,49.21
14061,27.47,53.47,64.78,50.62,44.83,54.56,37.73,100,62.06
14062,7.61,31.83,7.88,4.04,3.64,30.79,7.26,100,62.04
14063,5.05,19.74,0.67,0.51,6.1,32.84,1.78,9.89,29.89
14064,8.85,33.36,16.83,2.13,6.88,43.58,4.59,60.52,45.91
14065,14.82,40.57,3.55,3.5,8.01,30.01,6.61,43.58,49.91
14066,8.16,28.01,2.3,1.17,3.26,44.08,5.76,39.29,46.2
14067,2.66,12.97,0.39,0.33,2.29,33.98,2.25,5.58,23.46
14068,10.59,38.68,13.61,10.53,8.55,35.27,11.39,54.6,60.28
14069,18.63,46.77,12.22,2.4,26.49,27.51,9.19,100,63.79
14070,4.3,17.26,0.52,0.45,9.68,44.48,5.54,5.98,28.74
14071,10.26,37.23,5.56,1.71,15.39,39.87,8.54,100,55.07
14072,9.72,34.62,3.31,0.89,2.56,40.16,1.44,20.08,36.99
14073,6.54,27.24,2.96,0.36,9.34,36.7,0.99,25.35,32.15
14074,6.72,29.61,1.62,0.34,2.56,26.82,0.86,16.21,40.35
14075,5.45,23.37,2.59,2.94,4.52,38.81,3.88,100,44.97
14076,9.56,37.05,11.03,13.87,14.35,43.41,10.38,100,40.46
14077,5.31,26.23,1.48,0.65,3.41,30.48,1.95,69.24,36.37
14078,9.14,31.57,5.46,1.22,6.12,29.95,2.49,23.05,39.41
14079,10.83,29.78,0.56,0.99,2.69,42.05,10.12,11.97,46.59
14080,10.32,34.29,6.1,3.48,13.05,31.12,4.83,100,55.71
14081,8.59,43.35,8.59,1.13,0.97,30.89,3.29,100,64.79
14082,4.21,20.18,0.49,0.46,0.17,36.86,6.76,2.21,37.6
14083,5.57,22.68,0.58,0.57,2.88,36.49,1.96,28.8,28.43
14084,7.39,30.11,7.65,5.81,14.08,38.13,4.28,38.66,55.39
14085,9.69,30.81,1.94,2.35,4.29,27.21,2.99,50.54,33.36
14086,8.89,32.55,7.2,2.53,10.31,48.07,5.7,68.05,33.83
14087,10.62,33.47,6.64,6.76,9.63,30.22,9.9,26.33,44.94
14088,6.53,26.91,3.18,0.8,4.14,31.46,4.75,44.55,45.96
14089,6.2,26.99,2.39,4.97,2.17,31.68,3.99,100,48.52
14090,6.66,30.08,2.36,0.53,2.59,26.02,2.52,100,46.74
14091,8.12,34.93,7.42,1.38,6.53,33.97,3.53,40.84,49.81
14092,8.42,35.26,3.11,0.46,2.8,29.8,5.68,100,62.08
14093,6.55,26.08,1.28,0.54,3.72,28.92,0.82,18.86,27.96
14094,4.92,21.57,2.73,1.95,3.98,43.52,4.92,28.24,40.16
14095,6.28,27.7,1.41,0.78,0.84,29.51,1.18,100,41.94
14096,10.39,33.62,2.95,1.07,0.62,35.65,6.08,28.67,41.69
14097,2.56,12.52,0.31,0.24,2.26,37.11,2.6,16.15,19.02
14098,3.44,14.59,0.19,0.25,3.03,32.94,4.32,1.95,24.17
14099,13.11,35.15,11.34,5.83,4.92,36.38,15.55,100,62.32
14100,8.66,33.19,11.57,4.66,14.44,42.84,3.38,74.25,47.02
14101,3.38,15.27,0.34,0.33,9.1,37.03,4.29,4.5,26.79
14102,8.83,32.79,1.45,0.22,0.74,27.18,2.46,100,44.78
14103,8.3,27.6,0.3,0.36,0.36,35.3,2.67,100,36.55
14104,9.45,37.72,8.11,2.9,6.47,24.42,3.93,100,52.94
14105,8.88,31.43,2.45,0.56,14.86,37.68,2.15,42.77,32.25
14106,12.84,38.9,7.58,2.61,1.87,35.31,5.9,100,58.01
14107,5.62,27.01,2.34,0.64,1.49,37.16,5.95,100,33.21
14108,6.09,21.84,0.68,1.89,1.74,36.45,10.57,19.48,45.01
14109,11.86,37.46,8.06,1.65,6.62,40.43,3.72,56.02,37.41
14110,4.96,26.97,1.34,0.75,2.94,28.17,2.57,34.23,40.25
14111,6.61,29.03,5.08,0.66,4.96,28.92,0.31,100,33.63
14112,9.95,33.99,3.3,2.4,8.32,22.48,2.33,100,46.26
14113,9.32,31.92,3.86,1.72,3.45,39.24,5.25,100,49.5
14114,7.2,28.24,0.79,0.85,0.74,33.44,3.29,55.19,30.16
14115,12.57,42.49,15.13,10.96,31.5,30.34,7.81,100,48.02
14116,5.04,30.44,1.91,0.61,3.21,35.49,1.4,18.86,41.38
14117,11.04,41.28,6.02,1.76,3.19,23.45,2.17,100,47.43
14118,8.18,34.54,3.74,1.67,18.65,22.34,2.2,38.72,39.51
14119,6.18,25.69,2.23,0.83,1.91,36.63,9.16,34.87,48.2
14120,2.3,10.89,0.13,0.18,3.13,22.87,3.09,2.67,18.45
14121,5.99,23.72,0.69,0.6,0.61,30.21,5.22,21.78,35.14
14122,11.36,30.97,7.95,8.6,1.6,42.79,9.24,100,63.49
14123,9.23,33.55,1.88,0.95,1.59,41.09,3.38,100,50.89
14124,7.58,31.48,3.89,1.19,9.7,37.83,2.39,49.12,41.73
14125,9.64,38.65,2.96,1.25,12.5,33.75,1.23,44.55,29.03
15001,13.34,31.91,30.56,4.19,18.87,48.07,5.73,100,61.28
15002,2.9,11.78,0.38,0.35,20.18,43.71,3.89,13.26,31.21
15003,11.28,30.5,33.24,5.99,6.55,49.83,8.06,100,57.89
15004,11.56,31.89,20.23,3.39,24.62,43.49,8.32,100,66.8
15005,9.1,25.63,19.45,2.89,17.87,50.45,8.11,73.95,32.6
15006,4.75,17.34,0.26,0.58,0.18,47.01,7.55,12.67,43.07
15007,14.55,37.04,15.3,5.81,8.28,53.13,8.07,100,51.55
15008,19.23,38.47,18.99,2.49,63.76,37.48,9.26,100,61.87
15009,3.62,13.23,0.66,0.77,0.82,45.33,8.89,34.56,39.76
15010,5.08,18.78,2.12,0.98,10.29,36.39,1.91,49.73,33.38
15011,3.46,13.35,0.55,0.74,5.74,48.34,5.56,38.23,40.64
15012,5.44,16.53,0.72,0.5,0.12,52.14,9.89,21.72,53.38
15013,2.77,10.41,0.02,0.05,0.15,28.16,1.53,0.16,29.33
15014,8.9,21.03,12.09,2.62,4.06,43.7,4.07,61.37,47.01
15015,6.91,22.15,1.8,0.97,3.36,52.31,16.94,35.98,63.23
15016,6.98,21.47,6.96,1.19,1.85,46.75,4.75,80.43,51.49
15017,3.43,14.54,0.7,1.6,4.39,45.92,8.57,100,43.92
15018,5.31,14.63,1.36,0.95,1.33,42.91,6.53,40.03,35.26
15019,3.28,12.83,0.82,0.42,1.59,43.31,4.36,39.13,36.25
15020,0.97,4.94,0.06,0.04,0.24,18.37,1.57,0.04,28.15
15021,12.19,35.49,17.73,2.46,11.6,48.14,10.69,80.79,52.15
15022,2.6,11.82,0.5,1.46,4.7,42.28,5.46,22.87,35.98
15023,5.11,15.63,0.86,0.77,1.06,46.91,9.18,8.59,39.8
15024,1.43,6.19,0.08,0.04,0.73,25.99,0.92,12.27,28.17
15025,4.24,14.42,0.64,0.67,6.95,46.62,7.24,5.01,36.9
15026,11.51,30.23,23.36,2.81,6.01,51.65,4.21,100,53.15
15027,2.12,9.45,0.82,0.2,2.4,40.99,1.99,37.95,38.1
15028,2.72,12.88,1.32,0.73,6.51,42.88,6.08,62.43,29
15029,2.67,9.65,0.08,0.15,1.51,42.46,1.72,1.22,32.9
15030,2.36,11.23,0.96,0.29,2.79,43.72,2.48,4.74,47.32
15031,4.54,16.83,0.12,0.46,8.77,54.21,5.97,0.34,40.2
15032,16.88,42.3,23.85,8.08,18.53,60.68,15.93,100,69.31
15033,2.71,11.01,0.05,0.1,2.38,33.87,1.98,0.07,37.29
15034,8.35,25.77,5.36,0.44,0.57,58.41,20.72,24.67,65.65
15035,2.62,9.93,0.36,0.36,1.04,43.69,2.12,27.94,31.8
15036,8.15,22.92,8.09,0.31,1.69,47.62,4.08,36.97,43.46
15037,2.94,11.05,0.72,0.17,3.5,31.97,2.31,22.16,22.97
15038,6.79,21.04,8.26,1.18,1.7,44.18,8.28,100,44.45
15039,2.81,10.61,0.27,1.08,6.6,38.28,4.61,2.46,32.26
15040,9.31,25.38,8.63,1.14,22.92,42.39,6.51,47.41,49.09
15041,13.26,39.9,23.77,4.13,7.7,50.46,7.17,100,83.32
15042,11.26,24.78,16.61,2.05,25.33,48.34,9.14,61.93,53.14
15043,5.2,18.59,3.31,0.95,3.69,53.58,12.72,44.01,52.35
15044,1.7,8.89,0.13,0.07,0.12,28.72,1.09,0,29.29
15045,7.27,23.73,19.27,5.08,12.69,43.79,3.93,85.88,49.96
15046,5.18,17.5,3.35,0.79,0.85,43.3,5.4,100,31.78
15047,11.74,28.3,18.45,2.67,2.12,50.28,9.82,92.53,54.32
15048,7.33,20.54,11.99,2.44,8.21,43.82,5.46,59.72,53.85
15049,7.44,24.23,1.88,1.19,1,51.81,13.82,100,60.55
15050,6.44,21.54,1.11,0.43,3.54,51.8,10.37,5.16,51.74
15051,5.08,14.23,1.42,0.48,3.41,38.78,3.8,54.91,27.26
15052,11.76,30.57,12.25,0.92,11.78,48.51,7.81,68.6,61.61
15053,2.84,12.84,0.39,0.48,5.44,44.36,4.08,23.17,31.67
15054,1.85,7.16,0.42,0.27,1.68,21.8,2.36,7.45,21.14
15055,3.85,12.13,1.01,0.84,4.5,39.58,4.09,17.24,31.75
15056,16.52,34.47,22.83,5.72,10.08,50.32,8.57,100,64.13
15057,3,11.5,0.14,0.23,1.59,35.54,1.56,3.91,28.02
15058,2.74,11.5,0.04,0.08,0.48,36.28,1.22,0.54,31.12
15059,3.65,14.64,0.56,0.66,8.91,51.23,4.81,42.15,30.82
15060,4.12,13.8,1.47,0.62,4.06,38.85,3.47,12.06,33.27
15061,6.08,19.37,3.83,0.35,2.38,42.01,2.52,100,53.5
15062,4,12.9,1.05,0.93,3.58,40.27,3.92,43.44,28.16
15063,10.47,30.77,9.18,1.01,3.54,52.69,13.13,100,66.47
15064,10.67,25.43,20.08,2.35,8.87,48.37,10.92,83.23,55.53
15065,5.74,18.95,4.66,0.75,3.26,45.67,4.85,70.5,45.92
15066,18.61,38.43,18.16,2.2,14.65,43.77,6.14,100,71.47
15067,9.48,24.17,8.87,0.77,0.93,50.75,12.38,69.91,39.39
15068,4.34,16.97,1.91,0.82,8.81,49.17,12.03,38.62,56.9
15069,2.92,11.12,0.81,0.46,6.94,39.13,1.59,100,33.73
