Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
8.40863E-8,0.000008409,0.000571223,1,0,0
9.44226E-8,0.000017851,0.000641396,0.999908088,0,0
1.01604E-7,0.000028011,0.000690145,0.999816176,0,0
1.27886E-7,0.0000517,0.000868509,0.999632353,0,0
1.58821E-7,0.000112479,0.001078371,0.999264706,0,0
1.99945E-7,0.000255798,0.001357216,0.998529412,0,0
2.62814E-7,0.000506058,0.00178321,0.997518382,0,0
3.77512E-7,0.001030296,0.00255945,0.996047794,0,0
5.3597E-7,0.002501337,0.003629859,0.993198529,0,0
6.68364E-7,0.005006711,0.00452245,0.989430147,0,0
8.09815E-7,0.01004812,0.005474326,0.983180147,0,0
1.12561E-6,0.025091109,0.007592882,0.969025735,0,0
1.55774E-6,0.050126559,0.010477299,0.951838235,0,0
2.36784E-6,0.100059069,0.015839692,0.928492647,0,0
3.97784E-6,0.200319707,0.026326322,0.899264706,0,0.004273504
5.40947E-6,0.300125706,0.035465119,0.879503676,0,0.004273504
6.78979E-6,0.40024903,0.044115454,0.864246324,0.001071811,0.008547009
7.96921E-6,0.500785762,0.05138476,0.851654412,0.001071811,0.008547009
8.99693E-6,0.600229979,0.057629503,0.840900735,0.001071811,0.008547009
1.01338E-5,0.700823307,0.064442269,0.831158088,0.001071811,0.012820513
1.05363E-5,0.750554086,0.066831074,0.826746324,0.001071811,0.012820513
1.10124E-5,0.801082589,0.069640763,0.822426471,0.003215434,0.012820513
1.19675E-5,0.900929946,0.075226078,0.814430147,0.005359057,0.017094017
1.26813E-5,1.000928685,0.079356686,0.806985294,0.008574491,0.017094017
1.34521E-5,1.100367764,0.083776341,0.8,0.009646302,0.017094017
1.40875E-5,1.200817018,0.087387324,0.793290441,0.009646302,0.017094017
1.47599E-5,1.300262455,0.09117836,0.786948529,0.010718114,0.021367521
1.54039E-5,1.40124982,0.094779493,0.780790441,0.010718114,0.021367521
1.61212E-5,1.500636755,0.098757158,0.775,0.010718114,0.021367521
1.77207E-5,1.750519737,0.107502125,0.761488971,0.012861736,0.021367521
1.91791E-5,2.000095492,0.115329036,0.749080882,0.01607717,0.021367521
2.04307E-5,2.251516385,0.1219375,0.737408088,0.01607717,0.021367521
2.16197E-5,2.501925405,0.128124809,0.726470588,0.020364416,0.025641026
2.27597E-5,2.750644124,0.133975563,0.716176471,0.020364416,0.02991453
