Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
6.88226E-8,0.000006882,0.000470344,1,0,0
9.51728E-8,0.0000164,0.000650308,0.999908097,0,0
9.642E-8,0.000026042,0.000658824,0.999816193,0,0
1.48262E-7,0.000053488,0.001012696,0.999632387,0,0
1.68094E-7,0.000103465,0.001148002,0.999356677,0,0
2.30503E-7,0.000258897,0.001573555,0.99862145,0,0
2.6661E-7,0.000504022,0.001819593,0.997702417,0,0
3.82499E-7,0.001034455,0.002608464,0.996231964,0,0
5.76247E-7,0.002512397,0.003924552,0.993382961,0,0
6.84255E-7,0.005067019,0.004656716,0.989706828,0,0
8.33145E-7,0.010022591,0.005664251,0.983733113,0,0
1.14714E-6,0.025039299,0.00778236,0.969763808,0,0
1.574E-6,0.050152271,0.010647443,0.952761695,0,0
2.36709E-6,0.100040521,0.015926902,0.928958735,0,0
3.76251E-6,0.200188319,0.025080425,0.898998254,0,0
5.09764E-6,0.300303961,0.033680495,0.878044297,0.001070664,0
6.561E-6,0.400054993,0.042933917,0.862236927,0.001070664,0
7.84878E-6,0.5006275,0.050931723,0.849370462,0.001070664,0
8.92638E-6,0.600198999,0.05752219,0.838525871,0.002141328,0.004291845
9.92747E-6,0.700268889,0.063563223,0.828784119,0.004282655,0.004291845
1.04786E-5,0.750388663,0.066856047,0.824280857,0.004282655,0.008583691
1.07925E-5,0.800498496,0.068720939,0.819961401,0.005353319,0.008583691
1.15073E-5,0.900794929,0.072940482,0.811690102,0.005353319,0.012875536
1.21611E-5,1.001085143,0.076766868,0.80387832,0.006423983,0.012875536
1.28497E-5,1.101201127,0.080762504,0.796526055,0.006423983,0.012875536
1.34432E-5,1.200989275,0.084178544,0.789541402,0.00856531,0.017167382
1.39978E-5,1.30122405,0.087347929,0.78283246,0.009635974,0.021459227
1.45264E-5,1.401369389,0.090348888,0.776399228,0.010706638,0.021459227
1.49815E-5,1.500306308,0.092916051,0.770241706,0.012847966,0.021459227
1.6113E-5,1.750456113,0.099237279,0.755445272,0.016059957,0.030042918
1.74231E-5,2.001323761,0.106447167,0.741659774,0.018201285,0.034334764
1.86022E-5,2.251754744,0.112838072,0.728885213,0.018201285,0.038626609
1.99035E-5,2.500531506,0.1197863,0.717029685,0.020342612,0.0472103
2.11923E-5,2.751656737,0.126560645,0.70581748,0.023554604,0.0472103
2.24954E-5,3.001141378,0.133305791,0.695340502,0.023554604,0.0472103
2.38565E-5,3.251617914,0.14024018,0.685414943,0.024625268,0.0472103
2.52087E-5,3.501968642,0.147020403,0.676040805,0.025695931,0.051502146
2.67229E-5,3.750623449,0.154487221,0.667218087,0.028907923,0.051502146
2.8136E-5,4.000542588,0.161338415,0.658854885,0.028907923,0.051502146
2.94839E-5,4.251205617,0.16777098,0.650859296,0.031049251,0.060085837
3.11648E-5,4.500134671,0.1756554,0.643323224,0.033190578,0.060085837
3.27045E-5,4.751875799,0.182747769,0.636062862,0.035331906,0.060085837
3.44037E-5,5.000607966,0.190434683,0.629262016,0.038543897,0.060085837
3.57403E-5,5.253244927,0.196380206,0.622644977,0.040685225,0.064377682
3.77245E-5,5.503132011,0.205047242,0.616395552,0.041755889,0.064377682
3.96718E-5,5.751827398,0.213373,0.61051374,0.042826552,0.068669528
4.14286E-5,6.002614009,0.22073615,0.604815734,0.046038544,0.068669528
4.30701E-5,6.251942727,0.227492819,0.599393438,0.048179872,0.072961373
4.44617E-5,6.501307491,0.233129308,0.594154949,0.051391863,0.072961373
4.59651E-5,6.754205952,0.239127184,0.589008363,0.051391863,0.072961373
4.73539E-5,7.001589772,0.244585267,0.584137487,0.051391863,0.077253219
4.84926E-5,7.250850082,0.249002158,0.579358515,0.053533191,0.081545064
4.96172E-5,7.50108461,0.253314074,0.574671446,0.054603854,0.08583691
5.08358E-5,7.752267094,0.257930537,0.57007628,0.056745182,0.08583691
5.21559E-5,8.004747601,0.262867938,0.565573017,0.056745182,0.08583691
5.34954E-5,8.253051772,0.267810981,0.561253561,0.059957173,0.08583691
5.47106E-5,8.502133756,0.272238272,0.557026009,0.061027837,0.08583691
5.60574E-5,8.751559181,0.277083298,0.552890359,0.062098501,0.094420601
5.75272E-5,9.001451366,0.282297223,0.548846613,0.063169165,0.094420601
5.88E-5,9.251325328,0.286751945,0.544894771,0.063169165,0.094420601
5.9725E-5,9.500184556,0.289955038,0.541034831,0.066381156,0.094420601
6.08987E-5,9.753741266,0.293978036,0.537174892,0.070663812,0.094420601
6.17995E-5,10.005394735,0.297035049,0.533406856,0.073875803,0.098712446
6.29563E-5,10.254623222,0.300921999,0.529730723,0.074946467,0.098712446
6.38271E-5,10.502050061,0.303819595,0.526146494,0.078158458,0.098712446
6.46462E-5,10.752490068,0.30652352,0.522562264,0.079229122,0.103004292
6.57163E-5,11.000344782,0.310024356,0.519069938,0.082441113,0.103004292
6.65784E-5,11.251559773,0.312819129,0.515577612,0.086723769,0.103004292
6.73292E-5,11.505809717,0.315234593,0.512085286,0.088865096,0.103004292
6.83372E-5,11.750120958,0.31845108,0.508776767,0.08993576,0.103004292
6.94443E-5,12.004767945,0.321949497,0.505376344,0.091006424,0.103004292
7.0271E-5,12.256306938,0.324538,0.502067825,0.092077088,0.111587983
7.10388E-5,12.503592976,0.326924781,0.498851209,0.095289079,0.111587983
7.19213E-5,12.753819789,0.329647254,0.495634592,0.096359743,0.111587983
7.26072E-5,13.006865508,0.331748212,0.492417976,0.097430407,0.111587983
7.35671E-5,13.255270468,0.334666155,0.489293263,0.098501071,0.111587983
7.41723E-5,13.506448365,0.336493157,0.486168551,0.098501071,0.111587983
7.49408E-5,13.75251834,0.338798343,0.483135741,0.098501071,0.115879828
7.5592E-5,14.000892227,0.340739099,0.480102932,0.100642398,0.115879828
7.62291E-5,14.251394544,0.342627055,0.477070122,0.102783726,0.115879828
7.68931E-5,14.504077159,0.344582963,0.474037313,0.105995717,0.124463519
7.75122E-5,14.751124814,0.346396386,0.471096407,0.107066381,0.124463519
7.83372E-5,15.000721581,0.348797307,0.4681555,0.109207709,0.128755365
7.92317E-5,15.252871245,0.351380568,0.465214594,0.113490364,0.137339056
8.00312E-5,15.507849874,0.353672217,0.462273688,0.115631692,0.137339056
8.0751E-5,15.757193583,0.355721648,0.459424685,0.118843683,0.141630901
8.12214E-5,16.000220487,0.35705385,0.456667586,0.119914347,0.141630901
8.17914E-5,16.252813836,0.358660891,0.453818583,0.119914347,0.141630901
8.25026E-5,16.507430368,0.360654884,0.45096958,0.122055675,0.141630901
8.33419E-5,16.756204308,0.362992128,0.44821248,0.125267666,0.150214592
8.41177E-5,17.007464638,0.365137132,0.445455381,0.128479657,0.158798283
8.47917E-5,17.252459927,0.366989147,0.442790185,0.130620985,0.158798283
8.55599E-5,17.507908899,0.369087024,0.440033085,0.131691649,0.158798283
8.65174E-5,17.757372917,0.371682156,0.437367889,0.132762313,0.167381974
8.7286E-5,18.001011268,0.373749976,0.434794596,0.132762313,0.17167382
8.79631E-5,18.255372707,0.375560406,0.4321294,0.133832976,0.17167382
8.8543E-5,18.502247906,0.377102511,0.429556107,0.13490364,0.17167382
8.97008E-5,18.752053064,0.380158958,0.426982814,0.140256959,0.184549356
9.04432E-5,19.004244235,0.382103317,0.424409521,0.141327623,0.184549356
9.12578E-5,19.258662675,0.384222529,0.421836228,0.146680942,0.184549356
9.21459E-5,19.50630215,0.386516264,0.419354839,0.146680942,0.188841202
