Predictor variable,Categorical,Sample average
X2013_1_EVI_drystd,false,391.6282481738791
X2013_1_NDVI_drystd,false,659.1334792143273
X2013_1_NDVI_perc65,false,5772.624677441615
bio_02,false,14.18222701217684
bio_06,false,8.311027844302851
bio_13,false,50.650963597430405
bio_17,false,35.603854389721626
bio_19,false,69.38758029978587
tree_cover_maximums,false,28.835318944311243
tree_cover_means,false,20.240046494171757
