x,y,species avg
228.0,228.0,0.31287926
229.0,229.0,0.29267025
230.0,230.0,0.42891434
231.0,231.0,0.403733
232.0,232.0,0.34509116
233.0,233.0,0.029037537
234.0,234.0,0.07626924
235.0,235.0,0.18057007
236.0,236.0,0.46602038
237.0,237.0,0.005687432
238.0,238.0,0.19612059
239.0,239.0,0.10870196
240.0,240.0,0.021443253
241.0,241.0,0.025298322
242.0,242.0,0.13062601
243.0,243.0,0.1818428
244.0,244.0,0.034218654
245.0,245.0,0.45314446
246.0,246.0,0.6626285
247.0,247.0,0.50895834
248.0,248.0,0.4585499
249.0,249.0,0.35254726
250.0,250.0,0.44447613
251.0,251.0,0.1100484
252.0,252.0,0.5241761
253.0,253.0,0.28166175
254.0,254.0,0.45079768
255.0,255.0,0.17215195
256.0,256.0,0.097332016
257.0,257.0,0.09946456
258.0,258.0,0.3235133
259.0,259.0,0.49450266
260.0,260.0,0.38638416
261.0,261.0,0.24458656
262.0,262.0,0.22872259
263.0,263.0,0.4981999
264.0,264.0,0.54091793
265.0,265.0,0.009740106
266.0,266.0,0.5418061
267.0,267.0,0.49039382
268.0,268.0,0.35334447
269.0,269.0,0.03429523
270.0,270.0,0.48553097
271.0,271.0,0.004544997
272.0,272.0,0.0062723104
273.0,273.0,0.2741769
274.0,274.0,0.43148372
275.0,275.0,0.10859209
276.0,276.0,0.11708204
277.0,277.0,0.30294326
278.0,278.0,0.4890004
279.0,279.0,0.2654225
280.0,280.0,0.1726339
281.0,281.0,0.2435005
282.0,282.0,0.075860344
283.0,283.0,0.41090852
284.0,284.0,0.2178344
285.0,285.0,0.5489247
286.0,286.0,0.089053035
287.0,287.0,0.203137
288.0,288.0,0.42476064
289.0,289.0,0.090460256
290.0,290.0,0.02070525
291.0,291.0,0.22810723
292.0,292.0,0.47608045
293.0,293.0,0.4028587
294.0,294.0,0.5803925
295.0,295.0,0.30529258
296.0,296.0,0.36838436
297.0,297.0,0.46153998
298.0,298.0,0.1589722
299.0,299.0,0.29492247
300.0,300.0,0.30352557
301.0,301.0,0.13812321
302.0,302.0,0.3676652
303.0,303.0,0.6147429
304.0,304.0,0.50177425
305.0,305.0,0.42193368
306.0,306.0,0.48015952
307.0,307.0,0.0873851
308.0,308.0,0.47706592
309.0,309.0,0.577649
310.0,310.0,0.41514575
311.0,311.0,0.38935688
312.0,312.0,0.07412883
313.0,313.0,0.01678002
314.0,314.0,0.42750704
315.0,315.0,0.22584999
316.0,316.0,0.58164585
317.0,317.0,0.5408505
318.0,318.0,0.3566701
319.0,319.0,0.38310575
320.0,320.0,0.034883987
321.0,321.0,0.21341029
322.0,322.0,0.17646459
323.0,323.0,0.3196213
324.0,324.0,0.2736941
325.0,325.0,0.08446571
326.0,326.0,0.21133044
327.0,327.0,0.24994661
328.0,328.0,0.11438954
329.0,329.0,0.6502297
330.0,330.0,0.40023932
331.0,331.0,0.21747549
332.0,332.0,0.38840327
333.0,333.0,0.5196583
334.0,334.0,0.47450775
335.0,335.0,0.0030556626
336.0,336.0,0.13929452
337.0,337.0,0.44189698
338.0,338.0,0.515397
339.0,339.0,0.4559451
340.0,340.0,0.48576537
341.0,341.0,0.42798394
342.0,342.0,0.30489635
343.0,343.0,0.02991554
344.0,344.0,0.44877195
345.0,345.0,0.009848687
346.0,346.0,0.44532752
347.0,347.0,0.3049521
348.0,348.0,0.16905198
349.0,349.0,0.23661833
350.0,350.0,0.016450021
351.0,351.0,0.26143688
352.0,352.0,0.10931011
353.0,353.0,0.26448372
354.0,354.0,0.19719122
355.0,355.0,0.03190815
356.0,356.0,0.0036751137
357.0,357.0,0.60350627
358.0,358.0,0.39749327
359.0,359.0,0.5282934
360.0,360.0,0.13335305
361.0,361.0,0.008132675
362.0,362.0,0.13386984
363.0,363.0,0.10449982
364.0,364.0,0.68818843
365.0,365.0,0.5301092
366.0,366.0,0.18958285
367.0,367.0,0.055707812
368.0,368.0,0.48538074
369.0,369.0,0.091242746
370.0,370.0,0.022496883
371.0,371.0,0.571378
372.0,372.0,0.52444893
