x,y,species_4 logistic values
1.0,1.0,0.4167879
2.0,2.0,0.47218248
3.0,3.0,0.3892388
4.0,4.0,0.29355314
5.0,5.0,0.16325125
6.0,6.0,0.3998266
7.0,7.0,0.62152624
8.0,8.0,0.5057379
9.0,9.0,0.5001789
10.0,10.0,0.6363418
11.0,11.0,0.41697973
12.0,12.0,0.12733372
13.0,13.0,0.15823314
14.0,14.0,0.04169414
15.0,15.0,0.019804165
16.0,16.0,0.3420423
17.0,17.0,0.15096283
18.0,18.0,0.14472263
19.0,19.0,0.29269132
20.0,20.0,0.31542456
21.0,21.0,0.012937413
22.0,22.0,0.059900396
23.0,23.0,0.08901902
24.0,24.0,0.13640623
25.0,25.0,0.05216948
26.0,26.0,0.00825972
27.0,27.0,0.3621978
28.0,28.0,0.3416644
29.0,29.0,0.4560115
30.0,30.0,0.031825874
31.0,31.0,0.115392484
32.0,32.0,0.44884476
33.0,33.0,0.40708822
34.0,34.0,0.33094317
35.0,35.0,0.5917687
36.0,36.0,0.19089988
37.0,37.0,0.17749642
38.0,38.0,0.3308171
39.0,39.0,0.27422762
40.0,40.0,0.014763109
41.0,41.0,0.69195586
42.0,42.0,0.60360104
43.0,43.0,0.44616243
44.0,44.0,0.45767412
45.0,45.0,0.6648944
46.0,46.0,0.050610542
47.0,47.0,0.22156408
48.0,48.0,0.09341723
49.0,49.0,0.121665336
50.0,50.0,0.3557042
51.0,51.0,0.2568041
52.0,52.0,0.45377526
53.0,53.0,0.14717148
54.0,54.0,0.04617031
55.0,55.0,0.2314339
56.0,56.0,0.45538077
57.0,57.0,0.07554688
58.0,58.0,0.4918932
59.0,59.0,0.32384655
60.0,60.0,0.35108006
61.0,61.0,0.17225648
62.0,62.0,0.43839568
63.0,63.0,0.21790712
64.0,64.0,0.5484517
65.0,65.0,0.7403905
66.0,66.0,0.5062825
67.0,67.0,0.3566493
68.0,68.0,0.17647469
69.0,69.0,0.51779354
70.0,70.0,0.10218751
71.0,71.0,0.5216916
72.0,72.0,0.2495499
73.0,73.0,0.43505436
74.0,74.0,0.014518181
75.0,75.0,0.33404112
76.0,76.0,0.679195
77.0,77.0,0.4513016
78.0,78.0,0.020470066
79.0,79.0,0.5081604
80.0,80.0,0.019162355
81.0,81.0,0.41323236
82.0,82.0,0.5945517
83.0,83.0,0.27606386
84.0,84.0,0.34681556
85.0,85.0,0.5307469
86.0,86.0,0.41330355
87.0,87.0,0.21190187
88.0,88.0,0.69142944
89.0,89.0,0.015605135
90.0,90.0,0.2017669
91.0,91.0,0.049752288
92.0,92.0,0.36759394
93.0,93.0,0.18073943
94.0,94.0,0.3760559
95.0,95.0,0.27986872
96.0,96.0,0.42842814
97.0,97.0,0.21356048
98.0,98.0,0.4080994
99.0,99.0,0.43700975
100.0,100.0,0.21996069
101.0,101.0,0.6254776
102.0,102.0,0.013644569
103.0,103.0,0.15100144
104.0,104.0,0.6713857
105.0,105.0,0.011297139
106.0,106.0,0.03019512
107.0,107.0,0.05894106
108.0,108.0,0.002853836
109.0,109.0,0.72324425
110.0,110.0,0.22639981
111.0,111.0,0.06741184
112.0,112.0,0.028809885
113.0,113.0,0.48453787
114.0,114.0,0.52286863
115.0,115.0,0.048572388
116.0,116.0,0.1517243
117.0,117.0,0.5485676
118.0,118.0,0.08880682
119.0,119.0,0.26735124
120.0,120.0,0.6242475
121.0,121.0,0.2150351
122.0,122.0,0.38337585
123.0,123.0,0.4702896
124.0,124.0,0.14597704
125.0,125.0,0.009306573
126.0,126.0,0.29974657
127.0,127.0,0.37890857
128.0,128.0,0.6203873
129.0,129.0,0.017320082
130.0,130.0,0.12936728
131.0,131.0,0.4559617
132.0,132.0,0.32368717
133.0,133.0,0.07231813
134.0,134.0,0.5398127
135.0,135.0,0.22929962
136.0,136.0,0.47675887
137.0,137.0,0.48723993
138.0,138.0,0.78980416
139.0,139.0,0.53955525
140.0,140.0,0.07867192
141.0,141.0,0.010468657
142.0,142.0,0.41424546
143.0,143.0,0.004905381
144.0,144.0,0.045280367
145.0,145.0,0.33476123
146.0,146.0,0.44422048
147.0,147.0,0.005715923
148.0,148.0,0.14750043
149.0,149.0,0.42240158
150.0,150.0,0.15388097
151.0,151.0,0.13061945
152.0,152.0,0.54201144
153.0,153.0,0.09600099
154.0,154.0,0.12557328
155.0,155.0,0.4980818
156.0,156.0,0.634568
157.0,157.0,0.484802
158.0,158.0,0.25844127
159.0,159.0,0.6012935
160.0,160.0,0.38447446
161.0,161.0,0.46961358
162.0,162.0,0.047773052
163.0,163.0,0.008459961
164.0,164.0,0.17657189
165.0,165.0,0.5530299
166.0,166.0,0.57267815
167.0,167.0,0.06669747
168.0,168.0,0.2525258
169.0,169.0,0.34099302
170.0,170.0,0.010658367
171.0,171.0,0.43891233
172.0,172.0,0.075475976
173.0,173.0,0.38962024
174.0,174.0,0.18550058
175.0,175.0,0.077368885
176.0,176.0,0.024994863
177.0,177.0,0.6040084
178.0,178.0,0.4210464
179.0,179.0,0.3648568
180.0,180.0,0.19778393
181.0,181.0,0.22585014
182.0,182.0,0.5185788
183.0,183.0,0.610164
184.0,184.0,0.63924307
185.0,185.0,0.31968287
186.0,186.0,0.17868273
187.0,187.0,0.59235597
188.0,188.0,0.6582193
189.0,189.0,0.20667829
190.0,190.0,0.09870436
191.0,191.0,0.22653425
192.0,192.0,0.457298
193.0,193.0,0.39440212
194.0,194.0,0.5498401
195.0,195.0,0.5123342
196.0,196.0,0.566441
197.0,197.0,0.44535872
198.0,198.0,0.31849647
199.0,199.0,0.17823704
200.0,200.0,0.09754869
201.0,201.0,0.612703
202.0,202.0,0.077332
203.0,203.0,0.4615461
204.0,204.0,0.009509305
205.0,205.0,0.45359594
206.0,206.0,0.6667499
207.0,207.0,0.015818369
208.0,208.0,0.43899184
209.0,209.0,0.06827921
210.0,210.0,0.37248218
211.0,211.0,0.6222548
212.0,212.0,0.34766716
213.0,213.0,0.5168342
214.0,214.0,0.037306745
215.0,215.0,0.16341732
216.0,216.0,0.5500037
217.0,217.0,0.08693371
218.0,218.0,0.41707715
219.0,219.0,0.09264843
220.0,220.0,0.28499597
221.0,221.0,0.5515441
222.0,222.0,0.2771265
223.0,223.0,0.010565189
224.0,224.0,0.68896216
225.0,225.0,0.026006652
226.0,226.0,0.3233263
227.0,227.0,0.38218495
228.0,228.0,0.20279038
229.0,229.0,0.31530097
230.0,230.0,0.41878358
231.0,231.0,0.4359937
232.0,232.0,0.38078615
233.0,233.0,0.022428194
234.0,234.0,0.10636081
235.0,235.0,0.22871798
236.0,236.0,0.5053697
237.0,237.0,0.0043054125
238.0,238.0,0.19351788
239.0,239.0,0.10188782
240.0,240.0,0.017098937
241.0,241.0,0.023827488
242.0,242.0,0.18848325
243.0,243.0,0.20064624
244.0,244.0,0.02910434
245.0,245.0,0.44027045
246.0,246.0,0.66961145
247.0,247.0,0.51339406
248.0,248.0,0.5071057
249.0,249.0,0.351722
250.0,250.0,0.48228067
251.0,251.0,0.1093992
252.0,252.0,0.52621543
253.0,253.0,0.26126602
254.0,254.0,0.4750834
255.0,255.0,0.17402151
256.0,256.0,0.107217655
257.0,257.0,0.11343155
258.0,258.0,0.3428808
259.0,259.0,0.51004994
260.0,260.0,0.34996226
261.0,261.0,0.19419199
262.0,262.0,0.2252874
263.0,263.0,0.5387632
264.0,264.0,0.5208838
265.0,265.0,0.010019793
266.0,266.0,0.54396635
267.0,267.0,0.42018923
268.0,268.0,0.40016326
269.0,269.0,0.033490214
270.0,270.0,0.49542135
271.0,271.0,0.0057143723
272.0,272.0,0.006442383
273.0,273.0,0.29876682
274.0,274.0,0.43889648
275.0,275.0,0.08971879
276.0,276.0,0.14609599
277.0,277.0,0.3918923
278.0,278.0,0.52543604
279.0,279.0,0.31607
280.0,280.0,0.21022598
281.0,281.0,0.26374954
282.0,282.0,0.09231262
283.0,283.0,0.35897538
284.0,284.0,0.22471969
285.0,285.0,0.5488797
286.0,286.0,0.08804626
287.0,287.0,0.27416664
288.0,288.0,0.4310171
289.0,289.0,0.11630471
290.0,290.0,0.02984414
291.0,291.0,0.25827277
292.0,292.0,0.46765733
293.0,293.0,0.40935057
294.0,294.0,0.5705215
295.0,295.0,0.35228127
296.0,296.0,0.40851042
297.0,297.0,0.54119307
298.0,298.0,0.19074783
299.0,299.0,0.2912733
300.0,300.0,0.25736332
301.0,301.0,0.13383713
302.0,302.0,0.3848471
303.0,303.0,0.6440438
304.0,304.0,0.49500325
305.0,305.0,0.3918534
306.0,306.0,0.49688274
307.0,307.0,0.10654562
308.0,308.0,0.5099006
309.0,309.0,0.6010646
310.0,310.0,0.3616242
311.0,311.0,0.35248342
312.0,312.0,0.08510905
313.0,313.0,0.01939755
314.0,314.0,0.36369944
315.0,315.0,0.1721457
316.0,316.0,0.5965729
317.0,317.0,0.5631178
318.0,318.0,0.3354661
319.0,319.0,0.44794396
320.0,320.0,0.03917566
321.0,321.0,0.18476535
322.0,322.0,0.1498248
323.0,323.0,0.2823074
324.0,324.0,0.36176157
325.0,325.0,0.1006677
326.0,326.0,0.22657445
327.0,327.0,0.30576757
328.0,328.0,0.118756145
329.0,329.0,0.6631248
330.0,330.0,0.30826005
331.0,331.0,0.24605753
332.0,332.0,0.41956902
333.0,333.0,0.54781365
334.0,334.0,0.49956384
335.0,335.0,0.0036143009
336.0,336.0,0.15078263
337.0,337.0,0.44522098
338.0,338.0,0.546138
339.0,339.0,0.45517442
340.0,340.0,0.50241303
341.0,341.0,0.48228362
342.0,342.0,0.2626569
343.0,343.0,0.03005705
344.0,344.0,0.47954196
345.0,345.0,0.00997412
346.0,346.0,0.4135492
347.0,347.0,0.31257838
348.0,348.0,0.16563489
349.0,349.0,0.2254153
350.0,350.0,0.011609838
351.0,351.0,0.27979806
352.0,352.0,0.09987705
353.0,353.0,0.31042203
