variable,x,y
X2013_1_NDVI_perc65,-2164.0400390625,0.02244916372001171
X2013_1_NDVI_perc65,-2139.535078125,0.02244916372001171
X2013_1_NDVI_perc65,-2115.0301171875,0.02244916372001171
X2013_1_NDVI_perc65,-2090.52515625,0.02244916372001171
X2013_1_NDVI_perc65,-2066.0201953125,0.02244916372001171
X2013_1_NDVI_perc65,-2041.515234375,0.02244916372001171
X2013_1_NDVI_perc65,-2017.0102734375,0.02244916372001171
X2013_1_NDVI_perc65,-1992.5053125,0.02244916372001171
X2013_1_NDVI_perc65,-1968.0003515624999,0.02244916372001171
X2013_1_NDVI_perc65,-1943.495390625,0.02244916372001171
X2013_1_NDVI_perc65,-1918.9904296875,0.02244916372001171
X2013_1_NDVI_perc65,-1894.48546875,0.02244916372001171
X2013_1_NDVI_perc65,-1869.9805078125,0.02244916372001171
X2013_1_NDVI_perc65,-1845.475546875,0.02244916372001171
X2013_1_NDVI_perc65,-1820.9705859375,0.02244916372001171
X2013_1_NDVI_perc65,-1796.465625,0.02244916372001171
X2013_1_NDVI_perc65,-1771.9606640625,0.02244916372001171
X2013_1_NDVI_perc65,-1747.4557031250001,0.02244916372001171
X2013_1_NDVI_perc65,-1722.9507421875,0.02244916372001171
X2013_1_NDVI_perc65,-1698.44578125,0.02244916372001171
X2013_1_NDVI_perc65,-1673.9408203125,0.02244916372001171
X2013_1_NDVI_perc65,-1649.4358593749998,0.02244916372001171
X2013_1_NDVI_perc65,-1624.9308984375,0.02244916372001171
X2013_1_NDVI_perc65,-1600.4259375000001,0.02244916372001171
X2013_1_NDVI_perc65,-1575.9209765625,0.02244916372001171
X2013_1_NDVI_perc65,-1551.416015625,0.02244916372001171
X2013_1_NDVI_perc65,-1526.9110546875,0.02244916372001171
X2013_1_NDVI_perc65,-1502.4060937499999,0.02244916372001171
X2013_1_NDVI_perc65,-1477.9011328125,0.02244916372001171
X2013_1_NDVI_perc65,-1453.3961718750002,0.02244916372001171
X2013_1_NDVI_perc65,-1428.8912109375,0.02244916372001171
X2013_1_NDVI_perc65,-1404.38625,0.02244916372001171
X2013_1_NDVI_perc65,-1379.8812890625,0.02244916372001171
X2013_1_NDVI_perc65,-1355.3763281249999,0.02244916372001171
X2013_1_NDVI_perc65,-1330.8713671875,0.02244916372001171
X2013_1_NDVI_perc65,-1306.36640625,0.02244916372001171
X2013_1_NDVI_perc65,-1281.8614453125,0.02244916372001171
X2013_1_NDVI_perc65,-1257.356484375,0.02244916372001171
X2013_1_NDVI_perc65,-1232.8515234375,0.02244916372001171
X2013_1_NDVI_perc65,-1208.3465625,0.02244916372001171
X2013_1_NDVI_perc65,-1183.8416015625,0.02244916372001171
X2013_1_NDVI_perc65,-1159.336640625,0.02244916372001171
X2013_1_NDVI_perc65,-1134.8316796875,0.022550394758582115
X2013_1_NDVI_perc65,-1110.32671875,0.02285676822066307
X2013_1_NDVI_perc65,-1085.8217578125,0.0231672041118145
X2013_1_NDVI_perc65,-1061.316796875,0.023481756448745728
X2013_1_NDVI_perc65,-1036.8118359375,0.023800473660230637
X2013_1_NDVI_perc65,-1012.306875,0.024123413488268852
X2013_1_NDVI_perc65,-987.8019140624999,0.024450622498989105
X2013_1_NDVI_perc65,-963.2969531250001,0.02478215843439102
X2013_1_NDVI_perc65,-938.7919921875,0.02511807344853878
X2013_1_NDVI_perc65,-914.2870312499999,0.02545842155814171
X2013_1_NDVI_perc65,-889.7820703125001,0.02580326236784458
X2013_1_NDVI_perc65,-865.277109375,0.02615264616906643
X2013_1_NDVI_perc65,-840.7721484374999,0.026506632566452026
X2013_1_NDVI_perc65,-816.2671875000001,0.02686527743935585
X2013_1_NDVI_perc65,-791.7622265625,0.027228642255067825
X2013_1_NDVI_perc65,-767.257265625,0.02759677916765213
X2013_1_NDVI_perc65,-742.7523046875001,0.02796975150704384
X2013_1_NDVI_perc65,-718.24734375,0.028347618877887726
X2013_1_NDVI_perc65,-693.7423828125,0.02873043715953827
X2013_1_NDVI_perc65,-669.2374218750001,0.02911827154457569
X2013_1_NDVI_perc65,-644.7324609375,0.029511183500289917
X2013_1_NDVI_perc65,-620.2275,0.02990923449397087
X2013_1_NDVI_perc65,-595.7225390624999,0.03031248413026333
X2013_1_NDVI_perc65,-571.217578125,0.030720999464392662
X2013_1_NDVI_perc65,-546.7126171875,0.031134843826293945
X2013_1_NDVI_perc65,-522.2076562499999,0.03155408054590225
X2013_1_NDVI_perc65,-497.70269531250005,0.031978778541088104
X2013_1_NDVI_perc65,-473.197734375,0.032409001141786575
X2013_1_NDVI_perc65,-448.6927734374999,0.03284481167793274
X2013_1_NDVI_perc65,-424.18781250000006,0.033286284655332565
X2013_1_NDVI_perc65,-399.6828515625,0.03373348340392113
X2013_1_NDVI_perc65,-375.1778906249999,0.034186478704214096
X2013_1_NDVI_perc65,-350.6729296875001,0.034645337611436844
X2013_1_NDVI_perc65,-326.16796875,0.03511013090610504
X2013_1_NDVI_perc65,-301.6630078124999,0.03558093309402466
X2013_1_NDVI_perc65,-277.1580468750001,0.03605780750513077
X2013_1_NDVI_perc65,-252.6530859375,0.036540836095809937
X2013_1_NDVI_perc65,-228.14812499999994,0.03703008219599724
X2013_1_NDVI_perc65,-203.6431640625001,0.03752562776207924
X2013_1_NDVI_perc65,-179.13820312500002,0.03802753984928131
X2013_1_NDVI_perc65,-154.63324218749995,0.03853590041399002
X2013_1_NDVI_perc65,-130.1282812500001,0.03905077651143074
X2013_1_NDVI_perc65,-105.6233203124998,0.039572250097990036
