variable,x,y
X2013_1_NDVI_perc65,-2164.0400390625,0.7694030404090881
X2013_1_NDVI_perc65,-2139.535078125,0.7694030404090881
X2013_1_NDVI_perc65,-2115.0301171875,0.7694030404090881
X2013_1_NDVI_perc65,-2090.52515625,0.7694030404090881
X2013_1_NDVI_perc65,-2066.0201953125,0.7694030404090881
X2013_1_NDVI_perc65,-2041.515234375,0.7694030404090881
X2013_1_NDVI_perc65,-2017.0102734375,0.7694030404090881
X2013_1_NDVI_perc65,-1992.5053125,0.7694030404090881
X2013_1_NDVI_perc65,-1968.0003515624999,0.7694030404090881
X2013_1_NDVI_perc65,-1943.495390625,0.7694030404090881
X2013_1_NDVI_perc65,-1918.9904296875,0.7694030404090881
X2013_1_NDVI_perc65,-1894.48546875,0.7694030404090881
X2013_1_NDVI_perc65,-1869.9805078125,0.7694030404090881
X2013_1_NDVI_perc65,-1845.475546875,0.7694030404090881
X2013_1_NDVI_perc65,-1820.9705859375,0.7694030404090881
X2013_1_NDVI_perc65,-1796.465625,0.7694030404090881
X2013_1_NDVI_perc65,-1771.9606640625,0.7694030404090881
X2013_1_NDVI_perc65,-1747.4557031250001,0.7694030404090881
X2013_1_NDVI_perc65,-1722.9507421875,0.7694030404090881
X2013_1_NDVI_perc65,-1698.44578125,0.7694030404090881
X2013_1_NDVI_perc65,-1673.9408203125,0.7694030404090881
X2013_1_NDVI_perc65,-1649.4358593749998,0.7694030404090881
X2013_1_NDVI_perc65,-1624.9308984375,0.7694030404090881
X2013_1_NDVI_perc65,-1600.4259375000001,0.7694030404090881
X2013_1_NDVI_perc65,-1575.9209765625,0.7694030404090881
X2013_1_NDVI_perc65,-1551.416015625,0.7694030404090881
X2013_1_NDVI_perc65,-1526.9110546875,0.7694030404090881
X2013_1_NDVI_perc65,-1502.4060937499999,0.7694030404090881
X2013_1_NDVI_perc65,-1477.9011328125,0.7694030404090881
X2013_1_NDVI_perc65,-1453.3961718750002,0.7694030404090881
X2013_1_NDVI_perc65,-1428.8912109375,0.7694030404090881
X2013_1_NDVI_perc65,-1404.38625,0.7694030404090881
X2013_1_NDVI_perc65,-1379.8812890625,0.7694030404090881
X2013_1_NDVI_perc65,-1355.3763281249999,0.7694030404090881
X2013_1_NDVI_perc65,-1330.8713671875,0.7694030404090881
X2013_1_NDVI_perc65,-1306.36640625,0.7694030404090881
X2013_1_NDVI_perc65,-1281.8614453125,0.7694030404090881
X2013_1_NDVI_perc65,-1257.356484375,0.7694030404090881
X2013_1_NDVI_perc65,-1232.8515234375,0.7694030404090881
X2013_1_NDVI_perc65,-1208.3465625,0.7694030404090881
X2013_1_NDVI_perc65,-1183.8416015625,0.7694030404090881
X2013_1_NDVI_perc65,-1159.336640625,0.7694030404090881
X2013_1_NDVI_perc65,-1134.8316796875,0.769297182559967
X2013_1_NDVI_perc65,-1110.32671875,0.7689790725708008
X2013_1_NDVI_perc65,-1085.8217578125,0.7686602473258972
X2013_1_NDVI_perc65,-1061.316796875,0.7683406472206116
X2013_1_NDVI_perc65,-1036.8118359375,0.7680202722549438
X2013_1_NDVI_perc65,-1012.306875,0.7676991820335388
X2013_1_NDVI_perc65,-987.8019140624999,0.7673773169517517
X2013_1_NDVI_perc65,-963.2969531250001,0.7670547366142273
X2013_1_NDVI_perc65,-938.7919921875,0.7667313814163208
X2013_1_NDVI_perc65,-914.2870312499999,0.7664072513580322
X2013_1_NDVI_perc65,-889.7820703125001,0.7660823464393616
X2013_1_NDVI_perc65,-865.277109375,0.7657567262649536
X2013_1_NDVI_perc65,-840.7721484374999,0.7654303312301636
X2013_1_NDVI_perc65,-816.2671875000001,0.7651031613349915
X2013_1_NDVI_perc65,-791.7622265625,0.7647752165794373
X2013_1_NDVI_perc65,-767.257265625,0.7644465565681458
X2013_1_NDVI_perc65,-742.7523046875001,0.7641171216964722
X2013_1_NDVI_perc65,-718.24734375,0.7637868523597717
X2013_1_NDVI_perc65,-693.7423828125,0.763455867767334
X2013_1_NDVI_perc65,-669.2374218750001,0.7631241083145142
X2013_1_NDVI_perc65,-644.7324609375,0.762791633605957
X2013_1_NDVI_perc65,-620.2275,0.762458324432373
X2013_1_NDVI_perc65,-595.7225390624999,0.762124240398407
X2013_1_NDVI_perc65,-571.217578125,0.7617893815040588
X2013_1_NDVI_perc65,-546.7126171875,0.76145339012146
X2013_1_NDVI_perc65,-522.2076562499999,0.7610999941825867
X2013_1_NDVI_perc65,-497.70269531250005,0.7607458233833313
X2013_1_NDVI_perc65,-473.197734375,0.7603908181190491
X2013_1_NDVI_perc65,-448.6927734374999,0.7600350379943848
X2013_1_NDVI_perc65,-424.18781250000006,0.7596784234046936
X2013_1_NDVI_perc65,-399.6828515625,0.7593209743499756
X2013_1_NDVI_perc65,-375.1778906249999,0.7589626908302307
X2013_1_NDVI_perc65,-350.6729296875001,0.7586036324501038
X2013_1_NDVI_perc65,-326.16796875,0.75824373960495
