X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
1.0,1.0,train,3.94586807729252E-4,95.83664515677167,0.7409220210647275
2.0,2.0,train,1.5232407885734447E-4,51.144123306223136,0.5247142133286241
3.0,3.0,train,9.330263402965012E-5,22.05740758634772,0.4034225548072225
4.0,4.0,train,2.7065380171088847E-4,86.59300446591786,0.6623462851278579
5.0,5.0,train,1.0773018043812355E-4,28.932978798776453,0.4384529396827795
6.0,6.0,train,2.0353189937742113E-4,71.24978088774076,0.5959817214341235
7.0,7.0,train,1.6240034828461658E-4,56.036275110425706,0.5406579546403293
8.0,8.0,train,1.0871199339584353E-4,29.38653821651337,0.44068789362818295
9.0,9.0,train,7.964432412132716E-5,16.316502939959676,0.3659799342875095
10.0,10.0,train,4.4663936862954245E-4,96.86769992029548,0.7639896565082462
11.0,11.0,train,1.1387041969082588E-4,32.11448889785587,0.4521440071087479
12.0,12.0,train,2.660352329891828E-4,85.95723752472837,0.6584862920702652
13.0,13.0,train,9.455017732419935E-5,22.57232462760841,0.4066233094136683
14.0,14.0,train,2.1273163520541368E-4,74.01990266847548,0.6065799266943501
15.0,15.0,train,2.0015235127596254E-5,2.067731418798624,0.1266864931139462
16.0,16.0,train,2.0580050072900726E-4,71.9144192883696,0.5986478691917094
17.0,17.0,train,1.9861979973255713E-5,2.0301796224298463,0.12583853115860175
18.0,18.0,train,1.2773520726500247E-4,39.026847509829395,0.4807311871829392
19.0,19.0,train,1.0368381898563658E-4,26.787724686610385,0.4290503367854505
20.0,20.0,train,1.5871319143522889E-4,54.263567231647194,0.5349493826981884
21.0,21.0,train,4.82501614048614E-5,7.8383482276190914,0.2590957536056248
22.0,22.0,train,1.8807051116898107E-5,1.8045930757929431,0.11995662146390855
23.0,23.0,train,6.674809740643184E-5,12.334757088948251,0.3260407939126985
24.0,24.0,train,1.259841117736266E-5,0.8633567751580247,0.08366953317087868
25.0,25.0,train,1.9574354413952754E-5,1.9656517144566164,0.12424264329820632
26.0,26.0,train,1.7678692098037262E-4,62.19764993875827,0.5616527327389808
27.0,27.0,train,1.4348493128666498E-4,47.171642519647584,0.5097880373504451
28.0,28.0,train,3.6556211018238656E-5,5.519484372840551,0.20945365817695236
29.0,29.0,train,1.3711864571797574E-4,43.87100884724775,0.4984434322370232
30.0,30.0,train,2.00024355199568E-4,70.48804962648468,0.591789075114939
31.0,31.0,train,2.621160091093614E-4,85.18174648746408,0.6551408819441941
32.0,32.0,train,1.6797982031386223E-4,58.357764122177606,0.5490346348155521
33.0,33.0,train,4.3615138789239395E-4,96.6249305748589,0.7596782857467791
34.0,34.0,train,2.868324316076623E-4,89.29637888160586,0.6752056972778155
35.0,35.0,train,2.7042520289158073E-4,86.51518590242304,0.6621572861248706
36.0,36.0,train,1.0200181582068453E-4,25.99750003950587,0.42504853795132
37.0,37.0,train,6.717097677209124E-5,12.491407720171143,0.3274300649918793
38.0,38.0,train,3.1753635058336794E-4,92.22318188844122,0.6970985806368638
39.0,39.0,train,2.5615007231323555E-4,84.2517091719106,0.6499206927527146
40.0,40.0,train,2.471209812044037E-4,82.21972033239479,0.6417126155278158
41.0,41.0,train,1.4036537492204763E-4,45.675492321251426,0.5042938880535401
42.0,42.0,train,1.468538953869586E-4,48.85137907097491,0.5155862770741044
43.0,43.0,train,2.2208453753927855E-4,76.12065544982408,0.6167994005050265
44.0,44.0,train,2.1771454525332346E-4,75.2377496990418,0.61209140879639
45.0,45.0,train,2.5176126172938776E-4,83.2068907173453,0.6459784586732155
46.0,46.0,train,1.6850323593373988E-4,58.65272299985329,0.5498048111290005
47.0,47.0,train,1.1454604744539955E-4,32.481420473234834,0.45360981221782254
48.0,48.0,train,1.0416010495575552E-4,27.01484933725934,0.4301734092060949
49.0,49.0,train,1.0786835596764287E-4,29.02127470913441,0.4387685554797817
50.0,50.0,train,1.4446862028766666E-4,47.65132490620009,0.5114953374853115
51.0,51.0,train,2.1142851374797813E-4,73.66056953206625,0.6051126430344774
52.0,52.0,train,2.0208016474549182E-4,70.91165233262531,0.5942569211603571
53.0,53.0,train,2.40401646447802E-4,80.84763565675834,0.635350033212333
54.0,54.0,train,2.4972506932605424E-4,82.7484446868548,0.6441191454108799
55.0,55.0,train,1.1653706318200802E-4,33.566742163694784,0.4578841528375869
56.0,56.0,train,3.258091547348467E-4,92.7548909631424,0.7025016195842333
57.0,57.0,train,2.4310754747742196E-4,81.3812717385788,0.6379392533130592
58.0,58.0,train,1.0453497021455435E-4,27.221794830452094,0.43105423133677023
59.0,59.0,train,7.34601412534548E-5,14.499928512258728,0.3474357363653644
60.0,60.0,train,6.669398680682188E-5,12.314712460921692,0.3258626119200479
61.0,61.0,train,1.4648116024456776E-4,48.64749385230305,0.5149515290471849
62.0,62.0,train,2.716117535044646E-4,86.83358283391077,0.6631359980269534
63.0,63.0,train,2.221489743617913E-4,76.13277020775399,0.6168679664083498
64.0,64.0,train,1.1325227318032892E-4,31.699641235642385,0.45079600376893264
65.0,65.0,train,1.740402916120615E-4,60.71702476264755,0.5577940203025498
66.0,66.0,train,1.7966300964075002E-4,63.294502009383976,0.5656217961673254
67.0,67.0,train,2.885590186181865E-4,89.49687398897743,0.6765204471790781
68.0,68.0,train,3.462040749843407E-4,93.90004101860197,0.7150330473842522
69.0,69.0,train,3.516162955152878E-4,94.2767829351716,0.7181832337728451
70.0,70.0,train,1.4749943455134656E-4,49.19895478733902,0.5166816745516203
71.0,71.0,train,2.1086210050241078E-4,73.51147178794976,0.6044714572279221
